2019-11-30 00:00:01,015 INFO 26931 [egg-logrotator] agent logger reload: got log-reload message
2019-11-30 10:32:12,362 WARN 26931 [agent:development] reload worker because /Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/controller/shop_homepage.js rename
2019-11-30 10:35:15,981 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/favicon-16x16.png","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360789,"size":445,"blocks":8,"atimeMs":1575081315000,"mtimeMs":1575081315000,"ctimeMs":1575081315000,"birthtimeMs":1575081315000,"atime":"2019-11-30T02:35:15.000Z","mtime":"2019-11-30T02:35:15.000Z","ctime":"2019-11-30T02:35:15.000Z","birthtime":"2019-11-30T02:35:15.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:15,982 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/favicon-32x32.png","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360790,"size":1141,"blocks":8,"atimeMs":1575081315000,"mtimeMs":1575081315000,"ctimeMs":1575081315000,"birthtimeMs":1575081315000,"atime":"2019-11-30T02:35:15.000Z","mtime":"2019-11-30T02:35:15.000Z","ctime":"2019-11-30T02:35:15.000Z","birthtime":"2019-11-30T02:35:15.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:15,982 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/index.html","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360791,"size":1489,"blocks":8,"atimeMs":1575081315000,"mtimeMs":1575081315000,"ctimeMs":1575081315000,"birthtimeMs":1575081315000,"atime":"2019-11-30T02:35:15.000Z","mtime":"2019-11-30T02:35:15.000Z","ctime":"2019-11-30T02:35:15.000Z","birthtime":"2019-11-30T02:35:15.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:15,982 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/index.js","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360792,"size":813,"blocks":8,"atimeMs":1575081315000,"mtimeMs":1575081315000,"ctimeMs":1575081315000,"birthtimeMs":1575081315000,"atime":"2019-11-30T02:35:15.000Z","mtime":"2019-11-30T02:35:15.000Z","ctime":"2019-11-30T02:35:15.000Z","birthtime":"2019-11-30T02:35:15.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:15,983 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/oauth2-redirect.html","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360793,"size":2388,"blocks":8,"atimeMs":1575081315000,"mtimeMs":1575081315000,"ctimeMs":1575081315000,"birthtimeMs":1575081315000,"atime":"2019-11-30T02:35:15.000Z","mtime":"2019-11-30T02:35:15.000Z","ctime":"2019-11-30T02:35:15.000Z","birthtime":"2019-11-30T02:35:15.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:15,983 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui-bundle.js","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360794,"size":0,"blocks":0,"atimeMs":1575081315000,"mtimeMs":1575081315000,"ctimeMs":1575081315000,"birthtimeMs":1575081315000,"atime":"2019-11-30T02:35:15.000Z","mtime":"2019-11-30T02:35:15.000Z","ctime":"2019-11-30T02:35:15.000Z","birthtime":"2019-11-30T02:35:15.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:16,068 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui-bundle.js","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360794,"size":1453783,"blocks":2840,"atimeMs":1575081315000,"mtimeMs":1575081316000,"ctimeMs":1575081316000,"birthtimeMs":1575081315000,"atime":"2019-11-30T02:35:15.000Z","mtime":"2019-11-30T02:35:16.000Z","ctime":"2019-11-30T02:35:16.000Z","birthtime":"2019-11-30T02:35:15.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:16,068 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui-bundle.js.map","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360795,"size":0,"blocks":0,"atimeMs":1575081316000,"mtimeMs":1575081316000,"ctimeMs":1575081316000,"birthtimeMs":1575081316000,"atime":"2019-11-30T02:35:16.000Z","mtime":"2019-11-30T02:35:16.000Z","ctime":"2019-11-30T02:35:16.000Z","birthtime":"2019-11-30T02:35:16.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:16,186 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui-bundle.js.map","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360795,"size":5663006,"blocks":11064,"atimeMs":1575081316000,"mtimeMs":1575081316000,"ctimeMs":1575081316000,"birthtimeMs":1575081316000,"atime":"2019-11-30T02:35:16.000Z","mtime":"2019-11-30T02:35:16.000Z","ctime":"2019-11-30T02:35:16.000Z","birthtime":"2019-11-30T02:35:16.000Z"},"remove":false,"isDirectory":false,"isFile":true}
2019-11-30 10:35:16,186 INFO 26931 [egg-watcher] Recieved a change event from eventSource: {"event":"rename","path":"/Users/fullwin/Downloads/writtentestApi/docker-mysql-egg-flutter/app/public/swagger/swagger-ui-standalone-preset.js","stat":{"dev":16777224,"mode":33188,"nlink":1,"uid":501,"gid":20,"rdev":0,"blksize":4096,"ino":63360796,"size":437889,"blocks":856,"atimeMs":1575081316000,"mtimeMs":1575081316000,"ctimeMs":1575081316000,"birthtimeMs":1575081316000,"atime":"2019-11-30T02:35:16.000Z","mtime":"2019-11-30T02:35:16.000Z","ctime":"2019-11-30T02:35:16.000Z","birthtime":"2019-11-30T02:35:16.000Z"},"remove":false,"isDirectory":false,"isFile":true}
